epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6362,0.71791,2.20372,1.01053,0.79398,0.77882,0.85882,0.6984,0.53431,15.8215,0.67893,0.000550615,0.000550615,0.000550615
2,88.646,0.77821,1.39404,1.01675,0.79039,0.84891,0.88579,0.69947,0.57822,12.7652,0.69437,0.00109533,0.00109533,0.00109533
